Environment_,Prior_,CI_95_0,CI_95_1,CI_95_3,CI_95_5,CI_95_7,CI_95_10,Mean_Value_0,Mean_Value_1,Mean_Value_3,Mean_Value_5,Mean_Value_7,Mean_Value_10
death_process,False,0.0012106589539287178,0.05748014324449257,0.0019678165062381185,0.003104008633075791,0.002093593124762696,0.0005097945730533149,0.038163189089764515,0.07405412577912107,0.011225195369683388,0.0077551070611254925,0.006152686898238902,0.003935644193938175
death_process,True,0.0006123200988390605,0.04782067377759854,0.0024999542567524084,0.0019279321073049668,0.0022991356446736737,0.0009063324568193731,0.0379687527128794,0.06978203401876874,0.011230168922739713,0.007862782048398503,0.006050388473710694,0.004718808068160886
dugongs,True,0.021318898551295866,0.031182491901796405,0.04219809531846638,0.02859077405234118,0.015461764821714291,0.016044249279839502,1.3012990251763479,0.9727982929682757,0.21373529593675306,0.3419729327451225,0.15493241648434938,0.13801082114699897
hyperbolic_temporal_discount,False,0.004449095105621467,0.0028782740147781194,0.006144530238755649,3.6378367817641275e-06,9.449755848332319e-13,0.0,0.02475266852402695,0.01818617781686352,0.02558932683039637,-3.083117968158418e-06,1.4412487186338252e-12,0.0
hyperbolic_temporal_discount,True,0.011043861657432935,0.007789183247187695,0.009055114866436982,0.01855963537030185,0.011108697169348012,0.020636240267073083,0.12947883368660631,0.028421543503877655,0.08479146526961497,0.11064451181208015,0.09285924024584241,0.06900955300217353
location_finding,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
location_finding,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morals,True,0.012218389373143445,0.011613231380217819,0.018346285480326067,0.021941945397463216,0.01083007859659217,0.010428795822250828,0.014802721745972044,0.026637791649152594,0.010357578800302062,0.00975216348520668,0.006513374260224717,0.00480010970740412
peregrines,True,0.03934687981724038,0.012832712492666029,2.6179873055122853e-06,0.3375172326543705,0.1401834880057342,0.09390529910210212,2.4058513903982024,0.35449376000375865,-1.3781207792618324e-06,0.47186002571477326,0.37319443463595153,0.1537304542979634
survival,True,0.039768793641361336,0.032498421039071745,0.09095890102517837,0.09068336495113244,0.06727209308017727,0.08273381339154616,0.1642494424697555,0.18700842375171015,0.08450511277051495,0.13045764778173713,0.05595665203443323,0.09364975655686782
