Environment,Prior,Obs_Index,Mean_EIG,CI_95
hyperbolic_temporal_discount,True,0,0.0009469664117763698,0.0016493869198558626
hyperbolic_temporal_discount,True,1,0.00552023349632653,0.0029419091788989026
hyperbolic_temporal_discount,True,3,0.17731322498260974,0.12203548744778629
hyperbolic_temporal_discount,True,5,0.06611687436877065,0.05598919345856791
hyperbolic_temporal_discount,True,7,0.050280711431072246,0.018934907881326835
hyperbolic_temporal_discount,False,0,0.07908520628240383,0.01026165512566144
hyperbolic_temporal_discount,False,1,0.06522785430047467,0.0122790298014489
hyperbolic_temporal_discount,False,3,0.058918213768990015,0.03330712648791247
hyperbolic_temporal_discount,False,5,0.04008768768805746,0.004366987005078286
hyperbolic_temporal_discount,False,7,0.038125878934321226,0.021593443211286076
location_finding,True,0,0.0,0.0
location_finding,True,1,0.0,0.0
location_finding,True,3,0.0,0.0
location_finding,True,5,0.0,0.0
location_finding,True,7,0.0,0.0
location_finding,False,0,0.0,0.0
location_finding,False,1,0.0,0.0
location_finding,False,3,0.0,0.0
location_finding,False,5,0.0,0.0
location_finding,False,7,0.0,0.0
death_process,True,0,0.03748625427666805,0.0014988592216872627
death_process,True,1,0.022751552843473848,0.010505955954779595
death_process,True,3,0.010039853764996387,0.002544059903420028
death_process,True,5,0.007617906875439337,0.0021898585084753775
death_process,True,7,0.0043183493613333495,0.0008071450029463106
death_process,False,0,0.13873940537320725,0.00394083410480907
death_process,False,1,0.022832691364572975,0.007625279525574822
death_process,False,3,0.006759278000610095,0.0026382142298986247
death_process,False,5,0.003494586975035593,0.0013840524653676984
death_process,False,7,0.0028013820434009936,0.0006403015114864
irt,True,0,0.1263391359008829,0.013921410443616507
irt,True,1,0.12426983624129682,0.012422996734694812
irt,True,3,0.12311184059591675,0.01668524534042336
irt,True,5,0.12285258692173755,0.014752167937067615
irt,True,7,0.13172087146542227,0.006760514342907996
irt,False,0,0.1176250606412186,0.01727195333608388
irt,False,1,0.12169339107630951,0.023784448412537545
irt,False,3,0.12161775111737544,0.007223007102089854
irt,False,5,0.12121350798125771,0.006153295658907007
irt,False,7,0.11926283789291038,0.011267083222426576
dugongs,True,0,1.0215816223768863,0.020870983934037437
dugongs,True,1,1.2818673034215524,0.1772530216738595
dugongs,True,3,0.3089430001916211,0.11239491387893609
dugongs,True,5,0.13593618293296086,0.05515484396212564
dugongs,True,7,0.23248092750659433,0.2658896051112101
dugongs,False,0,1.3174772101665944,0.06289679397613958
dugongs,False,1,0.9887668310481581,0.052826465388370276
dugongs,False,3,0.18163094584532855,0.0384362575019717
dugongs,False,5,0.1319280129228826,0.0423466379665769
dugongs,False,7,0.08568610072561894,0.01468582869243316
survival,True,0,0.1836585534896185,0.04705073815550629
survival,True,1,0.14361487920298946,0.0752209921669436
survival,True,3,0.13192099535821838,0.10334886031471577
survival,True,5,0.06330793851808826,0.07260416763682757
survival,True,7,0.05113737618441958,0.07197390598588242
survival,False,0,0.17762918858162752,0.053567867179486535
survival,False,1,0.1628622142617974,0.08616424300079661
survival,False,3,0.15992435722651258,0.08191618408363652
survival,False,5,0.0678482191472655,0.07318025912359748
survival,False,7,0.086469123159232,0.07568686688467198
peregrines,True,0,0.34854903778364105,0.014756397067727583
peregrines,True,1,1.8907785502327596,0.9264574623422547
peregrines,True,3,0.6753581784149434,0.2626641364332395
peregrines,True,5,0.2620946819457954,0.08943912360403017
peregrines,True,7,0.1536392908518552,0.015817128069359507
peregrines,False,0,2.378602250236692,0.03055157175035577
peregrines,False,1,0.7270041150887542,0.11266558652124545
peregrines,False,3,0.2301580798754072,0.04577625616799526
peregrines,False,5,0.14787262863707432,0.02761560863052866
peregrines,False,7,0.13749645868204505,0.07871903989087684
morals,True,0,0.019310676651209478,0.009216772642781125
morals,True,1,0.018434889777634293,0.01371403753245977
morals,True,3,-0.0028995865148521683,0.016271246643338712
morals,True,5,0.0033139213321943424,0.009518249432674738
morals,True,7,0.005270631622193967,0.008314772624309751
emotion,True,0,1.0234427140632314,0.03616572182902417
emotion,True,1,0.35089237934819717,0.10601654937262775
emotion,True,3,-0.6986006710515579,1.315098400522967
emotion,True,5,-2.669869611801774,3.0198035150758646
emotion,True,7,-2.3024983608408562,5.17758834534815
