Environment,Prior,Obs_Index,Mean_Error,CI_95
hyperbolic_temporal_discount,True,0,0.3181086325675279,0.32135283735209536
hyperbolic_temporal_discount,True,1,0.5738178953547051,0.2641504051419384
hyperbolic_temporal_discount,True,3,0.4459632639611165,0.32566649126937863
hyperbolic_temporal_discount,True,5,0.19025400117393945,0.1830087690182962
hyperbolic_temporal_discount,True,7,,
hyperbolic_temporal_discount,True,10,,
hyperbolic_temporal_discount,False,0,0.8721453686064116,0.190481566034769
hyperbolic_temporal_discount,False,1,1.0,0.0
hyperbolic_temporal_discount,False,3,0.914763579070941,0.14942603418323072
hyperbolic_temporal_discount,False,5,0.914763579070941,0.09150438450914807
hyperbolic_temporal_discount,False,7,,
hyperbolic_temporal_discount,False,10,,
location_finding,True,0,3.2880705703648934,4.396049110588894
location_finding,True,1,4.2562447695543595,4.822843816905424
location_finding,True,3,3.1868875304916715,4.352147671200354
location_finding,True,5,2.9739786687171104,4.414660794030628
location_finding,True,7,,
location_finding,True,10,,
location_finding,False,0,4.327836722470033,4.197502622113236
location_finding,False,1,3.9903336635256976,4.194607342811724
location_finding,False,3,3.8434469469766888,4.244985248752858
location_finding,False,5,3.9245557743488724,4.152404389670612
location_finding,False,7,,
location_finding,False,10,,
death_process,True,0,0.5483532763418368,1.2704529133672067
death_process,True,1,-1.0840564052191657,0.05105133476362932
death_process,True,3,-1.1216811877304498,0.037017206824642636
death_process,True,5,-1.1175709173720743,0.037875027531251514
death_process,True,7,,
death_process,True,10,,
death_process,False,0,-0.14723093815248922,0.5062431835016012
death_process,False,1,-0.7286761065411553,0.41962082184605315
death_process,False,3,-1.053703639495777,0.07579116490221673
death_process,False,5,-1.0896421572446502,0.05379120676196221
death_process,False,7,,
death_process,False,10,,
irt,True,0,-0.19999999999999996,0.11087434329005062
irt,True,1,0.0,0.0
irt,True,3,0.039999999999999994,0.17176579403362002
irt,True,5,-0.039999999999999994,0.13118829216054304
irt,True,7,,
irt,True,10,,
irt,False,0,-0.15999999999999998,0.3575590133110897
irt,False,1,-0.07999999999999999,0.08588289701681001
irt,False,3,-0.15999999999999998,0.131188292160543
irt,False,5,0.11999999999999997,0.08588289701681001
irt,False,7,,
irt,False,10,,
dugongs,True,0,157.275769433149,119.12698161610903
dugongs,True,1,-0.04772251212141901,0.03204559605859274
dugongs,True,3,-0.07968117852417693,0.010354822465318094
dugongs,True,5,-0.08911764877534392,0.003410134736846806
dugongs,True,7,,
dugongs,True,10,,
dugongs,False,0,-0.008283468565144187,0.05754079935447067
dugongs,False,1,-0.06401661810119483,0.027794062235315397
dugongs,False,3,-0.09130184067053351,0.00258287830229496
dugongs,False,5,-0.08806528771006532,0.004068065686101322
dugongs,False,7,,
dugongs,False,10,,
survival,True,0,0.08944425596749897,0.270932459500575
survival,True,1,0.08944425596749897,0.270932459500575
survival,True,3,0.36288441934062243,0.1597872472584888
survival,True,5,0.40845777990280974,0.1494672835042497
survival,True,7,,
survival,True,10,,
survival,False,0,0.18059097709187344,0.3195744945169778
survival,False,1,0.2261643376540608,0.399468118146222
survival,False,3,0.1350176165296863,0.3913972231872279
survival,False,5,0.18059097709187352,0.3872987100034894
survival,False,7,,
survival,False,10,,
peregrines,True,0,1.5859898357102395,1.1720622860051448
peregrines,True,1,1.4030150288816645,0.732412726888598
peregrines,True,3,-0.18059176553250858,0.8354004148009944
peregrines,True,5,-0.6828112831137119,0.0068631905006014795
peregrines,True,7,,
peregrines,True,10,,
peregrines,False,0,3.1489303274367715,1.6259467146172497
peregrines,False,1,1.7169472190898731,0.41681208366842004
peregrines,False,3,-0.05897485399348257,0.4437602059743034
peregrines,False,5,-0.558439542870062,0.1553680037468166
peregrines,False,7,,
peregrines,False,10,,
morals,True,0,0.360570140614801,0.14189493263593603
morals,True,1,0.3605701406148009,0.21284239895390397
morals,True,3,0.2796296520850289,0.283789865271872
morals,True,5,0.19868916355525695,0.1327305557107602
morals,True,7,,
morals,True,10,,
morals,False,0,,
morals,False,1,,
morals,False,3,,
morals,False,5,,
morals,False,7,,
morals,False,10,,
emotion,True,0,0.6734904738628178,0.16977945543764025
emotion,True,1,0.8082121276527878,0.3081341892595612
emotion,True,3,0.8945721621335376,0.2079365173149067
emotion,True,5,0.7909401207566378,0.18056132944631192
emotion,True,7,,
emotion,True,10,,
emotion,False,0,,
emotion,False,1,,
emotion,False,3,,
emotion,False,5,,
emotion,False,7,,
emotion,False,10,,
lotka_volterra,True,0,1.7632807854534014,0.19014265784536563
lotka_volterra,True,1,-0.3181191248994309,0.047834883745928085
lotka_volterra,True,3,-0.40388248876201854,0.045352931880557674
lotka_volterra,True,5,-0.42382745710215525,0.03203823036560845
lotka_volterra,True,7,,
lotka_volterra,True,10,,
lotka_volterra,False,0,0.7004989010432625,0.09598480983009723
lotka_volterra,False,1,0.6127410403466613,0.05304126946251475
lotka_volterra,False,3,-0.3525954273159528,0.07108726063790456
lotka_volterra,False,5,-0.4500408440634776,0.010309584810633269
lotka_volterra,False,7,,
lotka_volterra,False,10,,
